Descripción;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;Total
HONDA;8.899;9.489;11.021;9.947;10.712;9.841;10.750;11.314;11.457;9.907;10.827;8.942;11.032;9.392;12.755;10.897;11.353;6.537;185.072
YAMAHA;3.877;4.005;4.764;4.246;4.685;4.141;4.554;4.672;4.870;4.212;4.436;3.831;4.600;3.739;5.091;4.213;4.536;2.438;76.910
ZANELLA;2.433;2.697;3.221;2.861;3.062;2.815;3.160;3.175;3.304;2.856;3.042;2.560;3.073;2.703;3.702;3.016;3.251;1.823;52.754
MOTOMEL;2.236;2.538;3.063;2.856;2.937;2.920;3.055;3.210;3.287;2.899;3.004;2.610;3.065;2.686;3.663;3.031;3.305;1.913;52.278
CORVEN;1.669;1.840;2.260;2.008;2.198;2.041;2.189;2.312;2.385;1.942;2.228;1.905;2.284;1.989;2.797;2.304;2.426;1.401;38.178
BAJAJ;1.420;1.493;1.753;1.515;1.731;1.538;1.755;1.961;1.978;1.612;1.776;1.400;1.846;1.579;2.195;1.822;2.017;1.101;30.492
GILERA;1.256;1.370;1.687;1.546;1.579;1.508;1.699;1.760;1.779;1.604;1.680;1.421;1.674;1.482;2.059;1.664;1.845;1.047;28.660
GUERRERO;1.234;1.423;1.678;1.558;1.554;1.486;1.641;1.681;1.706;1.496;1.562;1.335;1.668;1.373;1.790;1.483;1.581;852;27.101
MONDIAL;679;727;897;801;822;789;851;881;939;829;913;750;928;869;1.141;937;961;501;15.215
SUZUKI;674;665;854;771;800;715;820;806;846;765;820;612;728;658;866;723;776;449;13.348
KELLER;522;536;645;603;683;605;696;815;784;673;724;608;688;637;873;784;768;472;12.116
BENELLI;380;403;517;502;600;480;508;581;587;519;522;455;546;512;674;615;659;323;9.383
BRAVA;348;422;511;453;495;446;486;521;535;459;495;409;479;411;509;451;471;294;8.195
KTM;321;318;435;419;423;410;390;357;443;375;390;330;385;339;493;409;423;223;6.883
KAWASAKI;324;330;427;401;478;403;382;385;458;434;416;322;356;307;429;401;355;255;6.863
BETA;242;268;289;282;322;264;278;337;295;267;329;253;252;225;317;245;287;145;4.897
BMW;180;198;259;260;307;263;229;206;263;219;237;195;205;150;197;179;208;121;3.876
APPIA;167;205;224;203;244;189;226;254;216;216;252;213;209;169;253;211;228;115;3.794
KYMCO;162;174;210;207;207;201;188;203;217;183;206;206;220;193;249;259;228;141;3.654
CERRO;77;114;113;137;131;113;120;120;136;107;140;122;126;105;129;129;140;65;2.124
ROYAL ENFIELD;57;70;89;102;114;101;83;100;95;127;105;89;70;70;133;117;132;107;1.761
JAWA;54;72;65;55;72;73;65;76;54;64;64;47;60;54;71;48;63;37;1.094
RVM;48;54;59;53;61;53;51;60;67;45;53;58;63;66;85;91;80;41;1.088
PIAGGIO;56;51;71;54;61;60;67;64;51;62;55;59;58;40;75;83;70;36;1.073
HARLEY DAVIDSON;42;65;61;64;76;55;68;54;56;74;56;50;50;48;55;51;45;34;1.004
DUCATI;44;56;63;72;76;60;40;60;68;61;58;46;48;47;48;56;68;20;991
JIANSHE;41;44;48;36;53;52;52;48;54;49;54;44;55;43;50;38;50;36;847
MAVERICK;43;35;50;43;53;38;53;46;60;33;47;40;58;44;65;50;52;32;842
HERO;37;40;52;39;31;29;40;46;45;40;48;34;48;43;54;63;56;22;767
KEEWAY;28;26;40;49;37;44;42;57;47;32;46;32;47;39;54;37;44;31;732
IMSA;25;40;43;40;34;41;34;39;45;30;42;30;40;30;37;29;41;24;644
TVS;19;14;29;30;20;29;39;22;41;37;30;25;34;41;47;44;59;21;581
DAELIM;31;29;47;36;40;28;37;29;43;27;29;22;26;36;39;27;31;16;573
HUSQVARNA;21;19;22;37;32;31;28;24;22;36;31;29;35;27;42;35;50;25;546
OKINOI;17;15;25;30;25;22;26;20;29;26;28;22;21;18;20;32;28;13;417
TRIUMPH;17;23;31;11;32;27;18;27;23;19;30;25;29;27;20;18;24;6;407
TIBO;18;25;31;16;23;19;21;31;21;17;33;26;22;23;29;19;19;11;404
SYM;20;17;28;16;28;20;17;22;21;22;26;26;16;12;19;26;22;20;378
CAN-AM;28;25;26;23;24;17;19;19;26;19;25;23;21;20;20;16;14;12;377
CFMOTO;10;20;20;17;19;14;18;17;18;14;19;17;15;22;21;23;23;18;325
SIAMBRETTA;13;14;17;24;29;15;22;22;7;13;19;16;20;6;16;12;13;11;289
GARELLI;13;20;17;14;21;12;17;21;21;14;19;17;16;13;15;16;13;9;288
EUROMOT;8;10;14;24;19;16;13;21;18;16;15;12;21;17;21;15;13;8;281
JINCHENG;10;20;10;14;20;12;27;22;19;10;16;9;13;12;20;18;13;8;273
LEGNANO;15;8;19;16;16;15;15;7;22;20;20;16;12;12;15;10;14;5;257
POLARIS;17;8;12;15;16;12;13;8;21;8;14;13;22;9;14;4;12;2;220
BETAMOTOR;;;;1;;1;;1;;;1;8;30;19;31;32;29;19;172
APRILIA;4;7;3;7;13;16;11;8;5;10;8;6;10;10;12;13;13;11;167
GAMMA;9;5;7;8;14;10;10;12;8;6;11;8;4;12;8;10;10;8;160
GARELLI SAHEL;;;;;;;;;;;19;24;26;17;20;21;22;10;159
GHIGGERI;7;10;4;9;9;7;14;13;8;4;11;6;7;5;10;11;10;5;150
PANTHER QUADS;15;12;14;1;6;5;5;5;12;8;7;7;7;10;7;7;3;6;137
SUNRA;;6;3;4;4;6;1;11;10;8;13;8;6;6;18;11;9;11;135
DA DALT;5;5;10;5;11;7;7;7;4;4;6;7;7;9;9;13;6;5;127
JAGUAR ATV;7;6;6;2;8;6;5;9;6;7;10;7;12;6;7;9;6;5;124
JMSTAR;5;2;10;9;9;8;5;5;7;7;4;8;9;3;11;7;2;5;116
BLACKSTONE;3;8;10;6;5;2;7;3;7;2;5;9;6;8;6;8;10;5;110
DAYAMA;4;4;10;8;9;6;6;6;6;6;4;4;7;4;9;4;7;2;106
PUMA;5;4;3;5;4;7;9;4;4;7;4;3;4;2;10;9;6;3;93
MOTO GUZZI;6;2;6;8;6;9;6;6;11;7;4;5;1;;5;3;4;1;90
KIKAI;2;2;6;8;3;5;4;5;7;4;5;2;4;1;10;7;3;4;82
KONISA;1;2;3;4;5;3;7;4;8;5;7;2;6;4;6;8;2;2;79
VESPA;4;3;2;3;10;2;7;4;4;6;7;7;6;;6;2;5;1;79
DAYANG;4;6;4;4;5;2;4;10;9;2;4;1;4;3;2;5;6;3;78
MAVERICK MOTORCYCLES;;;1;7;5;6;6;9;5;3;8;3;2;4;2;3;4;2;70
PANTHER;;;2;6;4;3;6;5;4;6;5;4;6;4;4;5;2;1;67
DYNAMIC;3;2;6;5;2;4;3;6;2;1;7;1;2;3;5;4;5;3;64
KIDEN;;2;1;3;2;1;2;3;4;4;1;6;6;5;11;5;6;2;64
MV AGUSTA;2;2;4;3;8;3;6;4;5;4;3;2;2;4;2;4;5;1;64
HERO HONDA;1;1;4;2;4;4;6;4;1;4;7;3;5;4;5;1;5;1;62
JUKI;3;7;4;2;2;3;5;3;2;1;5;5;3;3;5;2;4;2;61
FAMSA;4;2;7;3;2;1;1;6;3;5;2;1;5;1;5;2;3;3;56
OLMO;1;4;2;3;3;;3;4;6;5;5;3;2;7;4;3;1;;56
SKYGO;2;3;1;2;2;2;4;9;3;2;3;2;4;1;7;1;5;1;54
SUMO;4;1;3;6;1;5;3;4;3;;4;2;2;2;4;2;2;4;52
BSA;4;2;4;2;3;5;1;3;6;1;3;;3;2;2;2;1;1;45
ELPRA ELECTRIC;;;1;1;2;1;;3;4;2;;4;7;4;6;6;3;1;45
VOGE;2;;3;1;3;3;4;1;3;5;3;1;1;4;4;5;1;1;45
OTROS;4;1;6;2;7;3;2;5;4;3;1;;;;1;2;2;;43
SIAM;;;;;;;1;;1;;;1;3;9;8;3;6;8;40
BLOOWER;3;3;2;1;4;2;;4;3;2;2;3;2;3;3;1;1;;39
